user_id,genres,release_date,playtime_forever
76561197970982479,action,2000,6
js41637,action,2000,0
WeiEDKrSat,action,2000,328
jarrodtrim,action,2000,337
UTNerd24,action,2000,5
xfluttersx,action,2000,17
Bluezap1,action,2000,0
ohnospaghet,action,2000,332
GamerFag,action,2000,125
chidori_647,action,2000,0
76561198092227136,action,2000,0
-GM-Dragon,action,2000,14
WestyGaming,action,2000,1934
AMV72,action,2000,20
Andraison,action,2000,83
76561198039441595,action,2000,2
LaLocaDeLosDulces,action,2000,47719
Azrafael,action,2000,0
hoarbiscuit,action,2000,724
BAW_Killer,action,2000,46
Bennysaputra,action,2000,24336
Too_1337,action,2000,184
bitmat,action,2000,8
180577,action,2000,99
Barridos,action,2000,2418
Bluegills,action,2000,0
Br0wni3,action,2000,125
76561198075981950,action,2000,80
Butterz,action,2000,0
76561198048121243,action,2000,17
ConkerBirdy,action,2000,0
76561197966764681,action,2000,1
76561197996092338,action,2000,0
chidvd,action,2000,263
OldLeakyBoat,action,2000,5
76561197995146150,action,2000,0
BlitzGames,action,2000,501
DaftyTM,action,2000,0
6dighero,action,2000,614
76561198056953510,action,2000,698
BoyangBao,action,2000,331
76561198057406795,action,2000,18
76561198068086235,action,2000,787
76561197960425229,action,2000,0
76561198057473311,action,2000,375
Fliqi,action,2000,72
Anthonybasso,action,2000,61
Frankaloons,action,2000,0
gatorgolfing,action,2000,446
GREENMAN41,action,2000,1990
xxxkennySopxxx,action,2000,8
hellotherem8,action,2000,6125
76561198123074348,action,2000,7
CyberBlade,action,2000,0
76561198042823843,action,2000,52
76561198079621961,action,2000,188
huy115,action,2000,99
Bhulb,action,2000,5
zaintheking,action,2000,0
TheLifeAndTimesOfTim,action,2000,2
r3koil,action,2000,33
46366536564574576346346546,action,2000,46
TheKiwiMantis,action,2000,36
NUZXD,action,2000,524
leo17453,action,2000,68
everybodylovesrayman,action,2000,42843
everybodylovesrayman,action,2000,42843
LionBrito,action,2000,88
scummyladsRus,action,2000,170
mu5tang,action,2000,0
76561198094044284,action,2000,87
SpecGames,action,2000,663
76561198056300439,action,2000,523
MortemSpiritus,action,2000,61
76561198067960427,action,2000,18517
killergrimes,action,2000,4
76561198004054009,action,2000,0
Natty22,action,2000,90307
76561198060005945,action,2000,0
nitrorupe,action,2000,31
nitrorupe,action,2000,31
briggsy195,action,2000,0
GuiCreed368,action,2000,261
PiozZ,action,2000,17556
PenguinKnightPE,action,2000,4
5975,action,2000,43
PinkPyroGames,action,2000,576
unlivingroy,action,2000,0
raviyn,action,2000,13
ravenmusicaus,action,2000,125
Redoxide,action,2000,50
reservegoalie,action,2000,5
reservegoalie,action,2000,5
hentaisandysenpai,action,2000,8
76561198072676817,action,2000,0
goldnugget666,action,2000,3
76561197991787618,action,2000,0
mad1167,action,2000,55
76561197963469414,action,2000,3177
76561198040188061,action,2000,3895
76561198109775138,action,2000,0
Shredderman962,action,2000,2670
Shredderman962,action,2000,2670
naaaaaaz,action,2000,312
Snickerbones,action,2000,351
76561198060787863,action,2000,4788
_codered66_,action,2000,259
stinglock,action,2000,384
AfterEffects,action,2000,9
stormlrd,action,2000,0
syrith,action,2000,0
76561198104909664,action,2000,157
thediamond96,action,2000,69
playgamesonlineoffical,action,2000,8
60324133769,action,2000,50653
hoobiedoobie5657,action,2000,10
Dagonlevel5,action,2000,100
83837474,action,2000,86
veroxAU,action,2000,53
76561198077707535,action,2000,20
dvs,action,2000,1717
EliotJordan,action,2000,8
76561198083246772,action,2000,502
MapleB0y,action,2000,142
ED13,action,2000,1515
adi_a12,action,2000,1
nathan3197,action,2000,212
shooterhunter,action,2000,84
76561198055065409,action,2000,225
reivehnfliyt,action,2000,16698
hotsaucdo,action,2000,53
Hirutha,action,2000,1684
nizamrahman,action,2000,26
InTranze,action,2000,454
doratheinbred,action,2000,0
76561198087445400,action,2000,26
perrocallejero,action,2000,573
jakkpro895,action,2000,418
DEANOXHILL,action,2000,715
DEANOXHILL,action,2000,715
76561198059286499,action,2000,1608
18082001,action,2000,100
